Policy ID;Component;Centre;Platform;Component;Centre;Platform;Version;enabled;Policy Identifier (FileType);Regular Expression (regex);installation_node;src_user;src_host;src_path;src_Protocol;dst_user;dst_host;dst_path;dst_protocol;suffix/prefix
37;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;MPL__NPIF;^S3.*_MPL__NPIF_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
38;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;REP_STNUNV;^S3.*REP_STNUNV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
39;EDS-CGS_MMDS;MARINE;VAL;DI_INBOX;MARINE;REF;01.00;YES;STNUNV_CGS;^S3.*REP_STNUNV.*$;s3-refpwas01-prd.eumetsat.int;s3pdgs;s3-refsims02-prd.eumetsat.int;/in/fromEDS/CGS-SGS/STATION_UNAVAILABILITY_REPORT;FTP;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/di-s3/prod-inbox;FS;
40;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;REP_STNUNV;^S3.*REP_STNUNV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
41;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;MPL__SSC;^S3.*_MPL__SSC_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
42;ADC ;MARINE;REF;MPF;MARINE;REF;01.00;YES;S3_MPL_ORBPRE;^S3.*MPL_ORBPRE.*$;s3-refadcs01-prd.eumetsat.int;ops3pdgs;s3-refadcs01-prd.eumetsat.int;/data/ADC/ToMissionPlanning;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
43;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;REP__CHF;^S3.*_REP__CHF__.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
44;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;REP__FCHF;^S3.*_REP__FCHF_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
45;PM_Outbox;MARINE;REF;PM_aux-inbox;MARINE;REF;01.00;YES;S3A_TM_0_NAT;^S3A_TM_0_NAT.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data/pm1-s3/aux-inbox;FS;
46;PM_Outbox;MARINE;REF;PM_aux-inbox;MARINE;REF;01.00;YES;S3A_TM_0_NAT;^S3A_TM_0_NAT.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data/pm2-s3/aux-inbox;FS;
